Rank	 Gene_Name	 Estimated_Lhat	 BF	 L2-norm	 Nmiss
1	 G21569	 0	 3.798303e-28	 4.485879e+03	 0
2	 G955	 0	 4.609761e-28	 4.458416e+03	 0
3	 G548	 0	 6.423050e-28	 4.414907e+03	 0
4	 G22653	 0	 6.568691e-28	 4.414667e+03	 0
5	 G8130	 0	 6.580251e-28	 4.411552e+03	 0
6	 G21313	 0	 7.031243e-28	 4.403931e+03	 0
7	 G22174	 0	 7.037008e-28	 4.402332e+03	 0
8	 G472	 0	 8.176266e-28	 4.382720e+03	 0
9	 G8830	 0	 1.055245e-27	 4.349748e+03	 0
10	 G22371	 0	 1.086224e-27	 4.345813e+03	 0
11	 G6351	 0	 1.122693e-27	 4.341119e+03	 0
12	 G973	 0	 1.192121e-27	 4.334260e+03	 0
13	 G13258	 0	 1.261231e-27	 4.326344e+03	 0
14	 G14914	 0	 1.736134e-27	 4.284711e+03	 0
15	 G3772	 0	 1.831816e-27	 4.277928e+03	 0
16	 G32	 0	 1.887186e-27	 4.273601e+03	 0
17	 G608	 0	 1.946585e-27	 4.269300e+03	 0
18	 G15738	 0	 2.297414e-27	 4.249037e+03	 0
19	 G13944	 0	 2.315955e-27	 4.246885e+03	 0
20	 G14775	 0	 2.419684e-27	 4.243148e+03	 0
21	 G17245	 0	 2.588505e-27	 4.249368e+03	 0
22	 G6978	 0	 2.718899e-27	 4.227884e+03	 0
23	 G164	 0	 2.763107e-27	 4.224312e+03	 0
24	 G21594	 0	 2.778946e-27	 4.223369e+03	 0
25	 G22561	 0	 2.935893e-27	 4.217607e+03	 0
26	 G14525	 0	 2.960798e-27	 4.218317e+03	 0
27	 G210	 0	 2.979569e-27	 4.214754e+03	 0
28	 G13881	 0	 3.038198e-27	 4.213288e+03	 0
29	 G1939	 0	 3.160207e-27	 4.206527e+03	 0
30	 G17548	 0	 3.164708e-27	 4.211844e+03	 0
31	 G15129	 0	 3.200039e-27	 4.206954e+03	 0
32	 G7860	 0	 3.252396e-27	 4.202709e+03	 0
33	 G13259	 0	 3.327782e-27	 4.200356e+03	 0
34	 G21431	 0	 3.366429e-27	 4.198643e+03	 0
35	 G5570	 0	 3.386932e-27	 4.202576e+03	 0
36	 G15750	 0	 3.421377e-27	 4.203579e+03	 0
37	 G2956	 0	 3.433830e-27	 4.198204e+03	 0
