Field	Time	C7:X	C7:Y	C7:Z	CLAV:X	CLAV:Y	CLAV:Z	LANK:X	LANK:Y	LANK:Z	LBHD:X	LBHD:Y	LBHD:Z	LBWT:X	LBWT:Y	LBWT:Z	LELB:X	LELB:Y	LELB:Z	LFHD:X	LFHD:Y	LFHD:Z	LFIN:X	LFIN:Y	LFIN:Z	LFRM:X	LFRM:Y	LFRM:Z	LFWT:X	LFWT:Y	LFWT:Z	LHEE:X	LHEE:Y	LHEE:Z	LKNE:X	LKNE:Y	LKNE:Z	LMT5:X	LMT5:Y	LMT5:Z	LSHN:X	LSHN:Y	LSHN:Z	LSHO:X	LSHO:Y	LSHO:Z	LTHI:X	LTHI:Y	LTHI:Z	LTOE:X	LTOE:Y	LTOE:Z	LUPA:X	LUPA:Y	LUPA:Z	LWRA:X	LWRA:Y	LWRA:Z	LWRB:X	LWRB:Y	LWRB:Z	RANK:X	RANK:Y	RANK:Z	RBAC:X	RBAC:Y	RBAC:Z	RBHD:X	RBHD:Y	RBHD:Z	RBWT:X	RBWT:Y	RBWT:Z	RELB:X	RELB:Y	RELB:Z	RFHD:X	RFHD:Y	RFHD:Z	RFIN:X	RFIN:Y	RFIN:Z	RFRM:X	RFRM:Y	RFRM:Z	RFWT:X	RFWT:Y	RFWT:Z	RHEE:X	RHEE:Y	RHEE:Z	RKNE:X	RKNE:Y	RKNE:Z	RMT5:X	RMT5:Y	RMT5:Z	RSHN:X	RSHN:Y	RSHN:Z	RSHO:X	RSHO:Y	RSHO:Z	RTHI:X	RTHI:Y	RTHI:Z	RTOE:X	RTOE:Y	RTOE:Z	RUPA:X	RUPA:Y	RUPA:Z	RWRA:X	RWRA:Y	RWRA:Z	RWRB:X	RWRB:Y	RWRB:Z	STRN:X	STRN:Y	STRN:Z	T10:X	T10:Y	T10:Z
1	0.0000	-2397.2	-1799.3	1328	-9999.99	-9999.99	-9999.99	-2355	-1517.8	105.73	-2324.6	-1724.4	1425.4	-2622.6	-1738.8	918.33	-2375.5	-1533.3	903.85	-2204.3	-1655.4	1457.2	-2278.3	-1640.5	640.82	-2370	-1561.7	786.59	-2422.3	-1693.5	828.97	-2408.5	-1571.2	32.154	-2380.6	-1570.8	445.9	-2255.6	-1442.9	26.434	-2383.7	-1528	325.18	-2334	-1618	1266	-2400.6	-1597.6	681.81	-2178.3	-1470.7	39.434	-2385.6	-1534.5	1100.1	-2292.2	-1686.7	723.15	-2330.1	-1565.2	705.99	-2690.7	-2094.7	108.25	-2457.2	-1906	1261.3	-2267.7	-1858.8	1421.4	-2618.2	-1913.8	918.24	-2316.5	-2064	941.99	-2120.2	-1757.1	1463.2	-2354.4	-1997.1	620.37	-2324.1	-2033.9	767.09	-2417.5	-1966.7	814.67	-2768.2	-2034.4	48.967	-2514.3	-2067.6	418.6	-2596.8	-2149.3	33.28	-2629.5	-2097	252.81	-2286	-1952.4	1278.9	-2450.5	-2055.5	557.18	-2497.8	-2119.6	30.507	-2279.5	-2032.2	1197.4	-9999.99	-9999.99	-9999.99	-2367.1	-2067.4	697.07	-9999.99	-9999.99	-9999.99	-2539.8	-1831	1192.8
2	0.0083	-2396.6	-1799.2	1327.8	-9999.99	-9999.99	-9999.99	-2355.4	-1517.8	105.65	-2324.2	-1724.4	1425.3	-2622.2	-1738.1	918.24	-2375.3	-1533.4	903.77	-2204	-1655.3	1458	-2278	-1640.3	640.99	-2369.7	-1561.7	786.77	-2422.1	-1692.8	830.27	-2405.5	-1570.2	28.6	-2377.3	-1570.2	444.78	-2255.7	-1443.5	27.04	-2383.5	-1527.8	325.26	-2333.3	-1618	1265.2	-2400.3	-1597.5	682.25	-2178.3	-1471.2	39.78	-2385.4	-1534.4	1100.2	-2291.8	-1686.6	723.15	-2329.4	-1565.2	706.34	-2691	-2095.1	107.47	-2456.3	-1905.7	1261	-2267	-1858.8	1421.3	-2618.1	-1913.1	918.33	-2316.6	-2064.1	941.99	-2119.9	-1757.1	1463.5	-2357.2	-1996	619.93	-2324.4	-2034.4	767.44	-2417.6	-1965.4	813.89	-2768.3	-2035.2	48.014	-2515.8	-2068.1	419.21	-2596.6	-2149.1	33.627	-2629.8	-2097.2	252.46	-2285.6	-1952.7	1278.9	-2451.5	-2055.8	557.36	-2497.8	-2119.5	30.854	-2279.3	-2032.3	1197.4	-9999.99	-9999.99	-9999.99	-2367.1	-2067.4	697.24	-9999.99	-9999.99	-9999.99	-2538.9	-1830.5	1192.6
3	0.0167	-2395.5	-1799	1327.7	-9999.99	-9999.99	-9999.99	-2356.1	-1517.6	105.73	-2323.6	-1724.4	1425	-2621.9	-1737.1	918.33	-2375.6	-1533.4	904.29	-2202.7	-1655.3	1457.5	-2277.5	-1640	641.25	-2369.7	-1561.7	786.77	-2421.6	-1691.5	831.83	-2406.5	-1570.3	28.774	-2378.2	-1570.6	445.99	-2256.7	-1445	28.167	-2383.8	-1527.7	325.52	-2332	-1617.6	1265.6	-2400.3	-1597	683.2	-2178.6	-1472.4	40.56	-2385.4	-1534.4	1100.2	-2291.8	-1686.6	723.15	-2327.5	-1565	705.3	-2691.3	-2095.4	106.95	-2455.4	-1905.5	1260.6	-2266.4	-1858.7	1421.3	-2618.2	-1912.2	918.93	-2316.7	-2064.3	941.99	-2119.1	-1756.8	1463.8	-2357.4	-1995.2	621.23	-2325.3	-2035	767.79	-2418	-1964.1	813.46	-2768.2	-2035.6	47.58	-2516.9	-2068.3	419.38	-2596.6	-2149.1	33.54	-2630.1	-2097.4	252.29	-2284.8	-1953.1	1279	-2452.3	-2055.9	557.96	-2497.9	-2119.5	30.854	-2279	-2032.5	1197.5	-9999.99	-9999.99	-9999.99	-2367.1	-2067.5	697.33	-9999.99	-9999.99	-9999.99	-2537.7	-1830	1192.5
4	0.0250	-2394.4	-1798.8	1327.3	-9999.99	-9999.99	-9999.99	-2357.4	-1518	106.25	-2322.9	-1724.4	1425	-2621.5	-1735.8	918.59	-2375.7	-1533.5	904.89	-2202.7	-1655.4	1457.6	-2276.5	-1639.1	641.43	-2369.7	-1561.7	786.77	-2420.9	-1689.9	832.79	-2411.1	-1572.1	32.154	-2384.8	-1571.8	451.97	-2258.6	-1446.9	29.467	-2384	-1527.5	325.96	-2330.7	-1617.2	1266.1	-2399.8	-1595.5	684.07	-2179.3	-1474.1	42.034	-2385.3	-1534.4	1100.2	-2292	-1686.2	723.33	-2324.2	-1564.2	702.96	-2692.1	-2096	106.77	-2454.5	-1905.2	1260.6	-2265.3	-1858.5	1421.2	-2618.2	-1910.7	919.45	-2316.6	-2064.5	942.16	-2118.2	-1756.8	1464.2	-2360.4	-1998.5	618.98	-2326.3	-2035.6	767.96	-2418.8	-1963	813.46	-2768.1	-2035.8	47.32	-2517.5	-2068.8	419.47	-2597.2	-2150.2	34.147	-2630.6	-2097.8	252.29	-2284	-1953.1	1279	-2453	-2055.9	558.66	-2497.8	-2119.5	30.854	-2278.6	-2032.6	1197.5	-9999.99	-9999.99	-9999.99	-2367.7	-2067.5	697.5	-9999.99	-9999.99	-9999.99	-2536.8	-1829.6	1192.6
5	0.0333	-2393	-1798.4	1327.2	-9999.99	-9999.99	-9999.99	-2359.2	-1518.6	106.86	-2321.7	-1724.5	1424.8	-2621.1	-1734.1	918.85	-2375.5	-1533.2	904.89	-2204.1	-1655.5	1458.9	-2275.4	-1637.9	641.86	-2369.6	-1561.6	786.77	-2420.6	-1688.4	832.96	-2413.5	-1572.8	33.194	-2377.5	-1569.5	448.94	-2258.2	-1448.2	29.987	-2384.4	-1527.2	326.91	-2329.4	-1616.9	1266	-2398.3	-1594.1	684.76	-2179.5	-1476	43.42	-2384.7	-1534.3	1100.2	-2292.2	-1685.5	723.85	-2324.2	-1563.5	703.57	-2693.7	-2096.7	106.51	-2453.6	-1904.6	1260.5	-2264.2	-1858.4	1420.7	-2618.2	-1908.9	919.71	-2316.4	-2064.7	942.33	-2117.1	-1756.1	1464.1	-2355	-1996	621.67	-2326.6	-2035.3	767.79	-2419.9	-1962.4	813.81	-2768.1	-2036	47.234	-2517.9	-2069.4	419.73	-2597.9	-2151.3	34.58	-2630.8	-2098	252.29	-2283.1	-1952.9	1278.5	-2454.2	-2056.1	559.7	-2491.2	-2112.2	26.607	-2277.9	-2032.9	1197.4	-9999.99	-9999.99	-9999.99	-2368.3	-2067.1	697.85	-9999.99	-9999.99	-9999.99	-2535.6	-1828.9	1192.5
6	0.0417	-2391.4	-1798.3	1327	-9999.99	-9999.99	-9999.99	-2360.7	-1519	107.64	-2320.4	-1724.6	1424.5	-2620.4	-1732	919.28	-2374.7	-1532.5	904.72	-2204.1	-1655.3	1459.4	-2274.7	-1637.5	642.47	-2369	-1561.1	786.85	-2420.6	-1687	832.87	-2414.1	-1572.8	32.76	-2375.6	-1568.8	449.8	-2256.6	-1449.4	31.027	-2383.8	-1526.5	327.43	-2327.5	-1616.4	1265.7	-2397	-1593.2	685.37	-2179.5	-1478	45.154	-2383.9	-1534.1	1100.4	-2292.2	-1685.2	724.37	-2324.9	-1563	705.13	-2693.7	-2096.8	106.43	-2452.5	-1904.1	1260.1	-2262.7	-1858.3	1420.7	-2618.4	-1906.9	920.23	-2316.3	-2064.9	942.42	-2116	-1755.6	1464.2	-2354.4	-1996.1	623.23	-2326.7	-2034.9	767.53	-2421.1	-1961.1	813.98	-2767.8	-2035.6	46.974	-2518.6	-2069.8	420.25	-2597.3	-2150.5	33.54	-2631.3	-2098	252.55	-2282	-1952.4	1278.2	-2455.4	-2056.3	561.08	-2491.2	-2112.2	26.607	-2276.9	-2032.9	1197.4	-9999.99	-9999.99	-9999.99	-2368.8	-2066.8	698.11	-9999.99	-9999.99	-9999.99	-2533.9	-1827.4	1192
7	0.0500	-2389.4	-1797.8	1326.4	-9999.99	-9999.99	-9999.99	-2361.8	-1519.6	108.42	-2319	-1724.7	1423.9	-2619.7	-1729.2	920.06	-2373.9	-1531.8	904.2	-2202.1	-1655.2	1459	-2273.7	-1636.5	642.81	-2368.3	-1560.4	787.03	-2420.8	-1685	831.92	-2415.2	-1573.7	31.287	-2375.6	-1568.3	451.8	-2256.5	-1451.5	31.98	-2382.4	-1525.5	327.69	-2325.3	-1616	1265.5	-2395.7	-1591.8	686.06	-2180.3	-1479.8	47.147	-2382.9	-1533.8	1100.8	-2291.6	-1684.4	725.06	-2323.7	-1561.9	705.21	-2692.4	-2096.1	106.6	-2450.9	-1903	1259.4	-2261	-1858.1	1420.5	-2618.6	-1904.2	920.58	-2315.8	-2064.9	942.42	-2114.9	-1755.6	1464.7	-2355.3	-1996.6	623.83	-2326.8	-2034.6	767.53	-2422.6	-1959.4	813.89	-2767.6	-2035.3	46.54	-2519.6	-2070.1	420.86	-2597	-2149.7	32.587	-2632.5	-2098.3	253.85	-2280.7	-1952.1	1277.9	-2456.5	-2056.2	561.78	-2491.2	-2112	26.607	-2276	-2032.5	1197.5	-9999.99	-9999.99	-9999.99	-2369	-2066.8	698.37	-9999.99	-9999.99	-9999.99	-2531.9	-1825.6	1191.6
8	0.0583	-2387.3	-1797	1325.9	-9999.99	-9999.99	-9999.99	-2363	-1520.6	108.94	-2317.5	-1724.7	1423.7	-2618.7	-1726	920.75	-2373.4	-1531.1	904.2	-2199.3	-1655.2	1458.3	-2272.9	-1635.9	643.85	-2367.2	-1559.8	787.37	-2420.3	-1684.3	831.05	-2417.1	-1576.2	27.214	-2374.6	-1566.3	453.53	-2258.4	-1453.8	32.76	-2383.8	-1525.5	330.12	-2322.9	-1615.7	1265.5	-2393.5	-1589.9	686.49	-2182.8	-1481.3	49.14	-2381.6	-1533.4	1101	-2291	-1683.2	725.58	-2323.8	-1561	706.77	-2691.8	-2095.5	106.95	-2449	-1901.7	1258.6	-2259.3	-1858.1	1420.1	-2618.8	-1900.7	921.01	-2315.3	-2065.1	942.42	-2113.6	-1755.9	1465.2	-2355.9	-1997.7	623.31	-2326.8	-2034.1	767.44	-2424.3	-1957.5	813.89	-2767.7	-2035	46.714	-2521	-2070.1	421.46	-2597.1	-2149.9	32.327	-2633.6	-2098.7	254.8	-2278.9	-1951.7	1277.3	-2458.1	-2055.8	562.47	-2490.9	-2111.8	26.694	-2275.1	-2032	1197.4	-9999.99	-9999.99	-9999.99	-2369.3	-2067.1	698.8	-9999.99	-9999.99	-9999.99	-2529.8	-1823.9	1191.2
9	0.0667	-2384.9	-1795.9	1325.2	-9999.99	-9999.99	-9999.99	-2365.5	-1521.9	109.29	-2315.8	-1724.8	1422.9	-2617.3	-1722.4	921.36	-2372.3	-1530.4	904.63	-2197.6	-1655.2	1457.9	-2271.6	-1634.4	644.29	-2366.4	-1558.9	787.55	-2419.3	-1683.2	830.71	-2418.1	-1576.7	30.334	-2377.7	-1565	458.82	-2261.9	-1455	33.8	-2385.6	-1525.4	332.72	-2320	-1615	1265.3	-2391.6	-1587.4	687.53	-2186.9	-1482.4	51.047	-2380.1	-1532.7	1101.3	-2289.9	-1682	725.32	-2323.1	-1559.9	707.55	-2691.9	-2095.3	107.38	-2447.2	-1900.4	1257.9	-2257.6	-1858	1419.7	-2619.3	-1896.7	921.19	-2314.8	-2065.2	942.33	-2111.8	-1755.4	1465.1	-2356.9	-2000.8	621.32	-2326.7	-2033.7	767.27	-2425.8	-1954.9	813.55	-2768.2	-2034.9	47.667	-2522.5	-2070.3	422.76	-2597.1	-2149.9	32.414	-2634.3	-2098.3	254.63	-2277.2	-1951.2	1276.7	-2460.3	-2055.4	563.6	-2490.6	-2111.4	26.78	-2274.4	-2031.8	1197.1	-9999.99	-9999.99	-9999.99	-2369.3	-2067.2	699.06	-9999.99	-9999.99	-9999.99	-2527.9	-1821.9	1190.8
10	0.0750	-2382.1	-1794.9	1324.3	-9999.99	-9999.99	-9999.99	-2369.5	-1523.5	110.24	-2313.7	-1725	1421.7	-2615.8	-1718.4	921.88	-2371	-1529.4	904.29	-2196.7	-1655.3	1457.5	-2269.6	-1632.3	643.94	-2365.2	-1557.6	787.37	-2417.8	-1680.5	831.23	-2420.1	-1578.6	31.46	-2368.3	-1561.8	453.7	-2267	-1456.4	34.06	-2385.6	-1524.8	333.41	-2316.4	-1614.4	1264.6	-2390.8	-1584.1	690.13	-2191.4	-1482.6	51.914	-2377.5	-1531.8	1101.4	-2288.1	-1680.7	724.63	-2321	-1558.5	706.86	-2692.1	-2095.1	108.07	-2445.4	-1899.1	1257.2	-2255.4	-1858.1	1419.3	-2619.5	-1892.5	921.19	-2314.4	-2065.5	942.25	-2109.4	-1754.4	1464	-2357.3	-2000.6	620.71	-2326.5	-2033.7	767.44	-2427.6	-1952.2	813.03	-2768.3	-2034.6	48.187	-2523.7	-2069.9	423.98	-2597.2	-2150.1	32.327	-2635.5	-2098.1	255.67	-2275.6	-1951	1276.3	-2462.6	-2055.1	564.72	-2490.5	-2110.4	27.04	-2273.4	-2031.7	1196.9	-9999.99	-9999.99	-9999.99	-2368.6	-2066.8	698.8	-9999.99	-9999.99	-9999.99	-2525.7	-1819.6	1190.2
