Rank	 Gene_Name	 Estimated_Lhat	 BF	 L2-norm	 Nmiss
1	 G21569	 0	 7.958018e-84	 4.449500e+03	 0
2	 G955	 0	 2.622507e-83	 4.421918e+03	 0
3	 G548	 0	 1.726192e-82	 4.378333e+03	 0
4	 G22653	 0	 1.736891e-82	 4.378190e+03	 0
5	 G8130	 0	 1.996773e-82	 4.374967e+03	 0
6	 G21313	 0	 2.772945e-82	 4.367371e+03	 0
7	 G22174	 0	 2.978811e-82	 4.365715e+03	 0
8	 G472	 0	 6.965421e-82	 4.346066e+03	 0
9	 G8830	 0	 2.903764e-81	 4.313044e+03	 0
10	 G22371	 0	 3.444348e-81	 4.309091e+03	 0
11	 G6351	 0	 4.223358e-81	 4.304379e+03	 0
12	 G973	 0	 5.675829e-81	 4.297541e+03	 0
13	 G13258	 0	 8.004850e-81	 4.289587e+03	 0
14	 G14914	 0	 4.859649e-80	 4.247869e+03	 0
15	 G3772	 0	 6.517784e-80	 4.241076e+03	 0
16	 G32	 0	 7.867115e-80	 4.236725e+03	 0
17	 G608	 0	 9.482609e-80	 4.232404e+03	 0
18	 G17245	 0	 2.193979e-79	 4.212909e+03	 0
19	 G15738	 0	 2.276782e-79	 4.212139e+03	 0
20	 G13944	 0	 2.503594e-79	 4.209944e+03	 0
21	 G14775	 0	 2.934629e-79	 4.206265e+03	 0
22	 G6978	 0	 5.687184e-79	 4.190950e+03	 0
23	 G164	 0	 6.653880e-79	 4.187329e+03	 0
24	 G21594	 0	 6.933367e-79	 4.186379e+03	 0
25	 G14525	 0	 8.586895e-79	 4.181430e+03	 0
26	 G22561	 0	 8.880101e-79	 4.180653e+03	 0
27	 G210	 0	 1.006374e-78	 4.177759e+03	 0
28	 G13881	 0	 1.070597e-78	 4.176326e+03	 0
29	 G17548	 0	 1.133160e-78	 4.174989e+03	 0
30	 G15129	 0	 1.407827e-78	 4.169989e+03	 0
31	 G1939	 0	 1.438806e-78	 4.169485e+03	 0
32	 G15750	 0	 1.616662e-78	 4.166766e+03	 0
33	 G5570	 0	 1.694106e-78	 4.165699e+03	 0
34	 G7860	 0	 1.697847e-78	 4.165658e+03	 0
35	 G13259	 0	 1.878234e-78	 4.163320e+03	 0
36	 G21431	 0	 2.023655e-78	 4.161594e+03	 0
37	 G2956	 0	 2.055552e-78	 4.161232e+03	 0
38	 G21202	 0	 2.296126e-78	 4.158672e+03	 0
39	 G22201	 0	 2.389960e-78	 4.157746e+03	 0
40	 G18213	 0	 2.735273e-78	 4.154619e+03	 0
41	 G16357	 0	 3.689994e-78	 4.147695e+03	 0
42	 G22630	 0	 3.864447e-78	 4.146624e+03	 0
43	 G8291	 0	 5.305827e-78	 4.139282e+03	 0
44	 G850	 0	 7.870394e-78	 4.130173e+03	 0
45	 G21207	 0	 9.387656e-78	 4.126090e+03	 0
46	 G13532	 0	 9.624665e-78	 4.125515e+03	 0
47	 G6670	 0	 1.066582e-77	 4.123139e+03	 0
48	 G550	 0	 1.174719e-77	 4.120902e+03	 0
49	 G14455	 0	 1.479875e-77	 4.115563e+03	 0
50	 G15327	 0	 1.570602e-77	 4.114186e+03	 0
51	 G6808	 0	 1.842709e-77	 4.110486e+03	 0
52	 G11895	 0	 2.103221e-77	 4.107423e+03	 0
53	 G16221	 0	 2.111636e-77	 4.107337e+03	 0
54	 G16851	 0	 2.177071e-77	 4.106627e+03	 0
55	 G9378	 0	 2.421151e-77	 4.104172e+03	 0
56	 G6867	 0	 2.677874e-77	 4.101831e+03	 0
57	 G22227	 0	 2.994946e-77	 4.099251e+03	 0
58	 G21497	 0	 3.046101e-77	 4.098858e+03	 0
