Rank	 Gene_Name	 Estimated_Lhat	 BF	 L2-norm	 Nmiss
1	 G21569	 0	 2.467626e-24	 4.464459e+03	 0
2	 G955	 0	 2.779562e-24	 4.436907e+03	 0
3	 G548	 0	 3.369486e-24	 4.393365e+03	 0
4	 G22653	 0	 3.380449e-24	 4.393217e+03	 0
5	 G8130	 0	 3.419540e-24	 4.390001e+03	 0
6	 G21313	 0	 3.540466e-24	 4.382411e+03	 0
7	 G22174	 0	 3.561562e-24	 4.380759e+03	 0
8	 G472	 0	 3.887411e-24	 4.361131e+03	 0
9	 G8830	 0	 4.508500e-24	 4.328141e+03	 0
10	 G22371	 0	 4.588647e-24	 4.324195e+03	 0
11	 G6351	 0	 4.685205e-24	 4.319485e+03	 0
12	 G973	 0	 4.836226e-24	 4.312653e+03	 0
13	 G13258	 0	 5.010151e-24	 4.304708e+03	 0
14	 G14914	 0	 6.053047e-24	 4.263032e+03	 0
15	 G3772	 0	 6.244573e-24	 4.256246e+03	 0
16	 G32	 0	 6.366836e-24	 4.251900e+03	 0
17	 G608	 0	 6.491990e-24	 4.247584e+03	 0
18	 G15738	 0	 7.131515e-24	 4.227340e+03	 0
19	 G13944	 0	 7.195966e-24	 4.225148e+03	 0
20	 G17245	 0	 7.232534e-24	 4.228101e+03	 0
21	 G14775	 0	 7.332429e-24	 4.221471e+03	 0
22	 G6978	 0	 7.866508e-24	 4.206178e+03	 0
23	 G164	 0	 7.987164e-24	 4.202557e+03	 0
24	 G21594	 0	 8.020635e-24	 4.201607e+03	 0
25	 G14525	 0	 8.231286e-24	 4.196658e+03	 0
26	 G22561	 0	 8.246073e-24	 4.195886e+03	 0
27	 G210	 0	 8.349383e-24	 4.192996e+03	 0
28	 G13881	 0	 8.413734e-24	 4.191562e+03	 0
29	 G17548	 0	 8.499081e-24	 4.190232e+03	 0
30	 G15129	 0	 8.666983e-24	 4.185234e+03	 0
31	 G1939	 0	 8.669919e-24	 4.184735e+03	 0
32	 G7860	 0	 8.824043e-24	 4.180910e+03	 0
33	 G15750	 0	 8.846125e-24	 4.182010e+03	 0
34	 G5570	 0	 8.867782e-24	 4.180943e+03	 0
35	 G13259	 0	 8.925332e-24	 4.178575e+03	 0
36	 G21431	 0	 8.995209e-24	 4.176851e+03	 0
37	 G2956	 0	 9.029016e-24	 4.176486e+03	 0
38	 G21202	 0	 9.136243e-24	 4.173927e+03	 0
39	 G22201	 0	 9.156033e-24	 4.173007e+03	 0
40	 G18213	 0	 9.303130e-24	 4.169884e+03	 0
41	 G16357	 0	 9.601319e-24	 4.162967e+03	 0
42	 G22630	 0	 9.658925e-24	 4.161896e+03	 0
43	 G8291	 0	 1.000587e-23	 4.154562e+03	 0
44	 G850	 0	 1.041605e-23	 4.145461e+03	 0
45	 G21207	 0	 1.062083e-23	 4.141386e+03	 0
46	 G13532	 0	 1.064862e-23	 4.140810e+03	 0
47	 G6670	 0	 1.076819e-23	 4.138436e+03	 0
48	 G550	 0	 1.087667e-23	 4.136204e+03	 0
49	 G14455	 0	 1.115683e-23	 4.130866e+03	 0
50	 G15327	 0	 1.122080e-23	 4.129493e+03	 0
51	 G6808	 0	 1.141961e-23	 4.125798e+03	 0
52	 G11895	 0	 1.158711e-23	 4.122742e+03	 0
53	 G16221	 0	 1.159478e-23	 4.122651e+03	 0
54	 G16851	 0	 1.164334e-23	 4.121942e+03	 0
55	 G9378	 0	 1.175946e-23	 4.119491e+03	 0
56	 G6867	 0	 1.197444e-23	 4.117141e+03	 0
57	 G22227	 0	 1.203720e-23	 4.114574e+03	 0
58	 G21497	 0	 1.206630e-23	 4.114181e+03	 0
59	 G21463	 0	 1.214387e-23	 4.113123e+03	 0
60	 G14789	 0	 1.224148e-23	 4.111028e+03	 0
61	 G1946	 0	 1.243081e-23	 4.107859e+03	 0
62	 G14920	 0	 1.246756e-23	 4.107129e+03	 0
63	 G11003	 0	 1.275883e-23	 4.103294e+03	 0
64	 G10855	 0	 1.280596e-23	 4.101642e+03	 0
65	 G207	 0	 1.281163e-23	 4.101402e+03	 0
66	 G405	 0	 1.288181e-23	 4.100269e+03	 0
67	 G3695	 0	 1.304846e-23	 4.097542e+03	 0
68	 G15170	 0	 1.315538e-23	 4.095770e+03	 0
69	 G10854	 0	 1.328390e-23	 4.093959e+03	 0
70	 G110	 0	 1.336618e-23	 4.092459e+03	 0
71	 G21603	 0	 1.338091e-23	 4.092427e+03	 0
72	 G273	 0	 1.345895e-23	 4.090870e+03	 0
73	 G21541	 0	 1.355531e-23	 4.089441e+03	 0
74	 G15216	 0	 1.414487e-23	 4.080648e+03	 0
75	 G18435	 0	 1.422779e-23	 4.079274e+03	 0
76	 G18903	 0	 1.430698e-23	 4.080150e+03	 0
77	 G21488	 0	 1.439239e-23	 4.077851e+03	 0
78	 G419	 0	 1.442866e-23	 4.076552e+03	 0
79	 G21503	 0	 1.445378e-23	 4.075935e+03	 0
80	 G14732	 0	 1.475583e-23	 4.071426e+03	 0
81	 G3354	 0	 1.493494e-23	 4.069433e+03	 0
82	 G385	 0	 1.513083e-23	 4.066247e+03	 0
83	 G8041	 0	 1.522467e-23	 4.065488e+03	 0
84	 G8195	 0	 1.565008e-23	 4.059976e+03	 0
85	 G3422	 0	 1.593866e-23	 4.056264e+03	 0
86	 G8050	 0	 1.594809e-23	 4.055291e+03	 0
87	 G237	 0	 1.605771e-23	 4.053895e+03	 0
88	 G607	 0	 1.606426e-23	 4.053652e+03	 0
89	 G1782	 0	 1.612179e-23	 4.053191e+03	 0
90	 G2093	 0	 1.653799e-23	 4.047627e+03	 0
91	 G14437	 0	 1.653897e-23	 4.048433e+03	 0
92	 G21025	 0	 1.654382e-23	 4.047767e+03	 0
93	 G1783	 0	 1.674173e-23	 4.044983e+03	 0
94	 G15328	 0	 1.677127e-23	 4.044761e+03	 0
95	 G13092	 0	 1.681437e-23	 4.044215e+03	 0
96	 G14459	 0	 1.685762e-23	 4.043826e+03	 0
97	 G1050	 0	 1.687957e-23	 4.043334e+03	 0
98	 G15094	 0	 1.695777e-23	 4.042432e+03	 0
99	 G7958	 0	 1.764951e-23	 4.034104e+03	 0
100	 G17435	 0	 1.771632e-23	 4.033338e+03	 0
101	 G47	 0	 1.771661e-23	 4.033793e+03	 0
102	 G22375	 0	 1.799136e-23	 4.030037e+03	 0
103	 G21720	 0	 1.801880e-23	 4.030207e+03	 0
104	 G22183	 0	 1.817956e-23	 4.027957e+03	 0
105	 G14587	 0	 1.837892e-23	 4.026310e+03	 0
106	 G16325	 0	 1.850904e-23	 4.025533e+03	 0
107	 G22631	 0	 1.884360e-23	 4.021583e+03	 0
108	 G14876	 0	 1.892055e-23	 4.019629e+03	 0
109	 G3353	 0	 1.899533e-23	 4.018988e+03	 0
110	 G22646	 0	 1.921625e-23	 4.017012e+03	 0
111	 G22647	 0	 1.938106e-23	 4.015279e+03	 0
112	 G735	 0	 1.947509e-23	 4.013568e+03	 0
113	 G12363	 0	 1.972278e-23	 4.010844e+03	 0
114	 G14997	 0	 1.981226e-23	 4.010236e+03	 0
115	 G6979	 0	 1.984455e-23	 4.010276e+03	 0
116	 G17308	 0	 2.005721e-23	 4.007914e+03	 0
117	 G20752	 0	 2.009668e-23	 4.006968e+03	 0
118	 G16269	 0	 2.019882e-23	 4.005972e+03	 0
119	 G19164	 0	 2.026464e-23	 4.005628e+03	 0
120	 G14833	 0	 2.046990e-23	 4.003592e+03	 0
121	 G420	 0	 2.054459e-23	 4.002450e+03	 0
122	 G18696	 0	 2.084702e-23	 4.002405e+03	 0
123	 G16920	 0	 2.117104e-23	 3.996561e+03	 0
124	 G15624	 0	 2.144707e-23	 3.993883e+03	 0
125	 G21934	 0	 2.169869e-23	 3.992117e+03	 0
126	 G7138	 0	 2.171054e-23	 3.994197e+03	 0
127	 G877	 0	 2.209135e-23	 3.987570e+03	 0
128	 G7422	 0	 2.241302e-23	 3.986847e+03	 0
129	 G22484	 0	 2.252302e-23	 3.983674e+03	 0
130	 G21963	 0	 2.273164e-23	 3.982054e+03	 0
131	 G357	 0	 2.334189e-23	 3.976448e+03	 0
132	 G14270	 0	 2.336505e-23	 3.975869e+03	 0
133	 G21278	 0	 2.338547e-23	 3.975971e+03	 0
134	 G751	 0	 2.354685e-23	 3.974469e+03	 0
135	 G17367	 0	 2.380870e-23	 3.972686e+03	 0
136	 G12070	 0	 2.383530e-23	 3.972197e+03	 0
137	 G574	 0	 2.448197e-23	 3.966917e+03	 0
138	 G13507	 0	 2.459731e-23	 3.966344e+03	 0
139	 G352	 0	 2.494686e-23	 3.963866e+03	 0
140	 G21021	 0	 2.495692e-23	 3.962956e+03	 0
141	 G784	 0	 2.497878e-23	 3.962256e+03	 0
142	 G4818	 0	 2.576180e-23	 3.956080e+03	 0
143	 G22645	 0	 2.594134e-23	 3.955198e+03	 0
144	 G17355	 0	 2.597999e-23	 3.954275e+03	 0
