FBgn	Chr	Start	Stop	Strand
FBgn0050260	2R	17385	17455	+
FBgn0050505	2R	17918	17988	-
FBgn0040849	2R	527717	528945	+
FBgn0013348	2R	573679	577502	-
FBgn0033005	2R	597975	602478	+
FBgn0026238	2R	624598	635700	-
FBgn0033010	2R	652085	662149	+
FBgn0053554	2R	685389	758399	-
FBgn0033015	2R	801474	803353	+
FBgn0040295	2R	814639	836869	+
FBgn0033017	2R	847090	848379	-
FBgn0033019	2R	857881	859291	+
FBgn0050441	2R	859109	859504	-
FBgn0033020	2R	861382	862114	+
FBgn0053347	2R	862866	863168	+
FBgn0033021	2R	867714	870491	-
FBgn0050437	2R	921124	961539	+
FBgn0052838	2R	961826	962401	+
FBgn0050440	2R	975702	1003224	-
FBgn0050438	2R	1004067	1056942	+
FBgn0033027	2R	1010824	1015254	-
FBgn0039969	2R	1110974	1112216	-
FBgn0039970	2R	1116012	1118977	+
FBgn0033028	2R	1149043	1160171	-
FBgn0027507	2R	1161027	1163336	+
FBgn0033029	2R	1164306	1170608	-
FBgn0033030	2R	1172767	1173192	+
FBgn0033031	2R	1175781	1177374	+
FBgn0033032	2R	1179160	1180185	+
FBgn0033033	2R	1184137	1199083	-
FBgn0033035	2R	1205242	1207608	+
FBgn0010633	2R	1209495	1212830	+
FBgn0000099	2R	1213580	1234218	-
FBgn0022288	2R	1261916	1263441	+
FBgn0033038	2R	1265443	1267779	-
FBgn0033039	2R	1268256	1279960	+
FBgn0025693	2R	1282162	1290243	-
FBgn0033041	2R	1298884	1300351	-
FBgn0033042	2R	1302861	1303574	+
FBgn0033043	2R	1304583	1305900	-
FBgn0040847	2R	1354349	1360729	+
FBgn0033044	2R	1364466	1365950	+
FBgn0050436	2R	1374661	1375375	-
FBgn0033045	2R	1428321	1428635	+
FBgn0033046	2R	1432245	1438751	+
FBgn0033047	2R	1465107	1467108	+
FBgn0033048	2R	1468386	1474224	-
FBgn0025458	2R	1476483	1482005	-
FBgn0002774	2R	1482126	1488160	-
FBgn0004603	2R	1488668	1519922	+
FBgn0033049	2R	1505186	1508815	+
FBgn0033050	2R	1521210	1527537	+
FBgn0000043	2R	1521298	1523073	-
FBgn0033051	2R	1528255	1530594	-
